index,year,iso_code,population,gdp,renewables_electricity,fossil_fuel_consumption,greenhouse_gas_emissions,energy_per_gdp
971,2010,VGB,27698.0,0.0,0.0,0.0,0.1299999952316284,0.0
972,2011,VGB,28733.0,0.0,0.0,0.0,0.1299999952316284,0.0
973,2012,VGB,30369.0,0.0,0.0,0.0,0.1299999952316284,0.0
974,2013,VGB,31727.0,0.0,0.0,0.0,0.1299999952316284,0.0
975,2014,VGB,32988.0,0.0,0.0,0.0,0.1299999952316284,0.0
976,2015,VGB,34523.0,0.0,0.0,0.0,0.1400000005960464,0.0
977,2016,VGB,33904.0,0.0,0.0,0.0,0.1400000005960464,0.0
978,2017,VGB,32724.0,0.0,0.0,0.0,0.1099999994039535,0.0
979,2018,VGB,34682.0,0.0,0.0,0.0,0.1099999994039535,0.0
980,2019,VGB,36423.0,0.0,0.0,0.0,0.1099999994039535,0.0
981,2020,VGB,37161.0,0.0,0.0,0.0,0.1099999994039535,0.0
982,2021,VGB,37833.0,0.0,0.0,0.0,0.1099999994039535,0.0
983,2022,VGB,38346.0,0.0,0.0,0.0,0.1099999994039535,0.0
984,2023,VGB,39009.0,0.0,0.0,0.0,0.1099999994039535,0.0
985,1990,BRN,255307.0,0.0,0.0,0.0,2.289999961853028,0.0
986,1991,BRN,262604.0,0.0,0.0,0.0,2.289999961853028,0.0
987,1992,BRN,269848.0,0.0,0.0,0.0,2.289999961853028,0.0
988,1993,BRN,276978.0,0.0,0.0,0.0,2.289999961853028,0.0
989,1994,BRN,284098.0,0.0,0.0,0.0,2.289999961853028,0.0
990,1995,BRN,291207.0,0.0,0.0,0.0,2.289999961853028,0.0
991,1996,BRN,298283.0,0.0,0.0,0.0,2.289999961853028,0.0
992,1997,BRN,305357.0,0.0,0.0,0.0,2.289999961853028,0.0
993,1998,BRN,312398.0,0.0,0.0,0.0,2.289999961853028,0.0
994,1999,BRN,319412.0,0.0,0.0,0.0,2.289999961853028,0.0
995,2000,BRN,326429.0,0.0,0.0,0.0,2.289999961853028,0.0
996,2001,BRN,333353.0,0.0,0.0,0.0,2.3299999237060547,0.0
997,2002,BRN,340108.0,0.0,0.0,0.0,2.450000047683716,0.0
998,2003,BRN,346650.0,0.0,0.0,0.0,2.890000104904175,0.0
999,2004,BRN,352921.0,0.0,0.0,0.0,2.940000057220459,0.0
1000,2005,BRN,358930.0,0.0,0.0,0.0,2.940000057220459,0.0
1001,2006,BRN,364670.0,0.0,0.0,0.0,2.9800000190734863,0.0
1002,2007,BRN,370883.0,0.0,0.0,0.0,3.059999942779541,0.0
1003,2008,BRN,377800.0,0.0,0.0,0.0,3.0899999141693115,0.0
1004,2009,BRN,384965.0,0.0,0.0,0.0,3.2699999809265137,0.0
1005,2010,BRN,392340.0,0.0,0.0,0.0,3.4200000762939453,0.0
1006,2011,BRN,399395.0,0.0,0.0,0.0,3.369999885559082,0.0
1007,2012,BRN,405564.0,0.0,0.0,0.0,3.549999952316284,0.0
1008,2013,BRN,411205.0,0.0,0.0,0.0,3.9800000190734863,0.0
1009,2014,BRN,416757.0,0.0,0.0,0.0,4.070000171661377,0.0
1010,2015,BRN,422223.0,0.0,0.0,0.0,3.7899999618530273,0.0
1011,2016,BRN,427571.0,0.0,0.0,0.0,3.849999904632568,0.0
1012,2017,BRN,432787.0,0.0,0.0,0.0,3.75,0.0
1013,2018,BRN,437811.0,0.0,0.0,0.0,3.880000114440918,0.0
1014,2019,BRN,442690.0,0.0,0.0,0.0,4.420000076293945,0.0
1015,2020,BRN,447411.0,0.0,0.0,0.0,5.139999866485596,0.0
1016,2021,BRN,451722.0,0.0,0.0,0.0,5.099999904632568,0.0
1017,2022,BRN,455374.0,0.0,0.0,0.0,5.0,0.0
1018,2023,BRN,458959.0,0.0,0.0,0.0,5.010000228881836,0.0
1019,2024,BRN,462734.0,0.0,0.0099999997764825,0.0,4.960000038146973,0.0
1020,1990,BGR,8822366.0,79352520673.0,1.6299999952316284,277.9761047363281,18.600000381469727,4.088190078735352
1021,1991,BGR,8695798.0,72983249507.0,2.2699999809265137,218.4815826416016,18.600000381469727,3.598055839538574
1022,1992,BGR,8559091.0,67935669606.0,1.899999976158142,208.6848602294922,18.600000381469727,3.637131929397583
1023,1993,BGR,8466533.0,67190225135.0,1.7899999618530271,218.6685333251953,18.600000381469727,3.923208951950073
1024,1994,BGR,8416924.0,68680754016.0,1.2999999523162842,206.1943817138672,18.600000381469727,3.691571712493897
1025,1995,BGR,8357576.0,70965735433.0,2.1700000762939453,217.25267028808597,18.600000381469727,3.842128992080689
1026,1996,BGR,8291402.0,65116237713.0,2.890000104904175,212.05859375,18.600000381469727,4.17570686340332
1027,1997,BGR,8217101.0,64936506648.0,2.720000028610229,198.72113037109372,18.600000381469727,3.959940195083618
1028,1998,BGR,8138193.0,67715867197.0,3.069999933242798,190.23712158203125,18.600000381469727,3.651438474655152
1029,1999,BGR,8067464.0,64098092292.0,2.7300000190734863,164.30557250976562,18.600000381469727,3.3894383907318115
1030,2000,BGR,8000519.0,67719765830.0,2.630000114440918,158.0170135498047,18.600000381469727,3.209952116012573
1031,2001,BGR,7928455.0,68877651140.0,1.649999976158142,164.5953826904297,21.040000915527344,3.2603800296783447
1032,2002,BGR,7861949.0,73450036758.0,2.119999885559082,155.0222930908203,18.709999084472656,2.965803384780884
1033,2003,BGR,7804405.0,77722336425.0,2.990000009536743,168.57736206054688,20.84000015258789,2.8994569778442383
1034,2004,BGR,7749430.0,83228668873.0,3.140000104904175,162.3699951171875,20.420000076293945,2.6182689666748047
1035,2005,BGR,7695047.0,89684785590.0,4.300000190734863,172.51388549804688,19.920000076293945,2.632392406463623
1036,2006,BGR,7640292.0,96404598197.0,4.230000019073486,175.43185424804688,20.530000686645508,2.496778726577759
1037,2007,BGR,7586896.0,104058200673.0,2.880000114440918,184.7734832763672,23.920000076293945,2.235668659210205
1038,2008,BGR,7535589.0,110900337989.0,2.930000066757202,179.45263671875,24.51000022888184,2.075951337814331
1039,2009,BGR,7488016.0,107365071902.0,3.680000066757202,150.88221740722656,22.36000061035156,1.8824232816696167
1040,2010,BGR,7437594.0,109045208364.0,5.760000228881836,154.6615753173828,23.93000030517578,1.9392976760864256
1041,2011,BGR,7380023.0,109435363210.0,3.890000104904175,170.4717559814453,28.86000061035156,2.0524141788482666
1042,2012,BGR,7317020.0,110261509885.0,5.25,156.51333618164062,24.40999984741211,1.9356545209884644
1043,2013,BGR,7264605.0,109643527181.0,6.909999847412109,140.884521484375,20.96999931335449,1.8068398237228396
1044,2014,BGR,7223450.0,110703533681.0,7.389999866485596,148.92491149902344,22.850000381469727,1.9109628200531008
